Date,meter_id,building_id,Unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
"August 1, 2011",0028931680_02,9575_Partners_LLC,KW,78.336,78.336,75.096,75.096,75.672,75.672,78.84,78.84,76.896,76.896,75.024,75.024,76.68,76.68,78.408,78.408,78.336,78.336,74.736,74.736,76.392,76.392,85.968,85.968,91.08,91.08,107.64,107.64,123.192,123.192,144.936,144.936,174.96,174.96,183.888,183.888,191.952,191.952,194.688,194.688,193.248,193.248,195.48,195.48,198.792,198.792,197.568,197.568,193.248,193.248,194.904,194.904,191.52,191.52,193.248,193.248,191.736,191.736,190.872,190.872,185.76,185.76,186.768,186.768,181.152,181.152,171.936,171.936,160.128,160.128,155.664,155.664,147.672,147.672,143.928,143.928,140.976,140.976,141.408,141.408,134.928,134.928,126.792,126.792,122.976,122.976,120.384,120.384,103.032,103.032,95.976,95.976,93.096,93.096,82.656,82.656
"August 2, 2011",0028931680_02,9575_Partners_LLC,KW,79.56,79.56,73.224,73.224,72.72,72.72,76.536,76.536,72.36,72.36,72.648,72.648,74.232,74.232,74.232,74.232,72.864,72.864,73.296,73.296,71.136,71.136,79.128,79.128,86.04,86.04,92.16,92.16,104.472,104.472,121.536,121.536,158.544,158.544,170.064,170.064,183.528,183.528,191.952,191.952,189.936,189.936,195.84,195.84,191.88,191.88,191.736,191.736,189.864,189.864,188.496,188.496,189.576,189.576,190.944,190.944,188.568,188.568,181.728,181.728,181.512,181.512,183.312,183.312,173.808,173.808,161.136,161.136,153.648,153.648,149.832,149.832,141.768,141.768,143.352,143.352,143.424,143.424,146.448,146.448,131.76,131.76,127.296,127.296,120.168,120.168,116.064,116.064,100.584,100.584,95.544,95.544,90.864,90.864,85.896,85.896
"August 3, 2011",0028931680_02,9575_Partners_LLC,KW,78.48,78.48,75.96,75.96,75.888,75.888,75.24,75.24,75.312,75.312,75.168,75.168,78.48,78.48,75.456,75.456,69.84,69.84,70.272,70.272,70.056,70.056,73.296,73.296,86.832,86.832,100.296,100.296,109.224,109.224,137.736,137.736,168.912,168.912,181.728,181.728,191.52,191.52,195.192,195.192,193.104,193.104,192.456,192.456,196.92,196.92,195.192,195.192,195.552,195.552,195.336,195.336,195.696,195.696,190.44,190.44,192.312,192.312,193.176,193.176,189,189,188.64,188.64,186.84,186.84,175.32,175.32,162.36,162.36,153.216,153.216,148.248,148.248,144.288,144.288,148.104,148.104,141.984,141.984,131.616,131.616,125.856,125.856,123.912,123.912,120.456,120.456,107.136,107.136,98.784,98.784,96.624,96.624,88.2,88.2
"August 4, 2011",0028931680_02,9575_Partners_LLC,KW,81.432,81.432,85.896,85.896,84.816,84.816,85.968,85.968,86.328,86.328,88.272,88.272,85.752,85.752,86.04,86.04,87.48,87.48,88.272,88.272,85.824,85.824,92.16,92.16,94.176,94.176,95.832,95.832,110.16,110.16,125.568,125.568,157.824,157.824,179.712,179.712,191.376,191.376,196.992,196.992,193.824,193.824,198.72,198.72,193.248,193.248,193.608,193.608,193.824,193.824,188.352,188.352,191.52,191.52,188.208,188.208,191.736,191.736,188.352,188.352,179.208,179.208,180.504,180.504,176.4,176.4,160.128,160.128,147.744,147.744,140.04,140.04,129.96,129.96,130.248,130.248,132.768,132.768,135.864,135.864,127.872,127.872,120.24,120.24,120.168,120.168,115.632,115.632,104.256,104.256,98.496,98.496,92.736,92.736,85.032,85.032
"August 5, 2011",0028931680_02,9575_Partners_LLC,KW,85.032,85.032,80.424,80.424,81.072,81.072,81.288,81.288,83.376,83.376,88.704,88.704,79.2,79.2,82.008,82.008,82.152,82.152,81.432,81.432,82.08,82.08,82.8,82.8,82.944,82.944,89.208,89.208,102.744,102.744,134.856,134.856,150.408,150.408,171,171,182.736,182.736,185.112,185.112,187.416,187.416,182.88,182.88,184.248,184.248,180.72,180.72,181.152,181.152,173.952,173.952,176.4,176.4,174.888,174.888,177.984,177.984,173.664,173.664,172.08,172.08,169.416,169.416,164.376,164.376,153.648,153.648,140.832,140.832,133.848,133.848,172.656,172.656,175.392,175.392,165.456,165.456,148.752,148.752,137.016,137.016,134.352,134.352,128.808,128.808,128.52,128.52,126.288,126.288,130.968,130.968,132.408,132.408,134.856,134.856
"August 6, 2011",0028931680_02,9575_Partners_LLC,KW,132.336,132.336,127.656,127.656,129.024,129.024,129.24,129.24,128.16,128.16,128.376,128.376,129.672,129.672,130.104,130.104,130.824,130.824,130.896,130.896,130.104,130.104,131.184,131.184,130.248,130.248,130.176,130.176,130.608,130.608,133.416,133.416,135.432,135.432,103.032,103.032,97.92,97.92,82.656,82.656,82.224,82.224,82.296,82.296,83.88,83.88,82.008,82.008,83.88,83.88,85.176,85.176,82.944,82.944,78.912,78.912,77.256,77.256,81.144,81.144,79.056,79.056,78.264,78.264,76.392,76.392,83.304,83.304,89.568,89.568,90.288,90.288,85.32,85.32,76.464,76.464,82.368,82.368,85.68,85.68,80.424,80.424,85.824,85.824,80.568,80.568,83.88,83.88,89.568,89.568,83.448,83.448,93.168,93.168,96.696,96.696
"August 7, 2011",0028931680_02,9575_Partners_LLC,KW,83.952,83.952,96.48,96.48,94.176,94.176,83.664,83.664,95.328,95.328,90.288,90.288,84.456,84.456,96.408,96.408,86.904,86.904,79.488,79.488,87.552,87.552,76.824,76.824,78.048,78.048,89.064,89.064,73.8,73.8,82.008,82.008,88.992,88.992,84.312,84.312,79.056,79.056,82.872,82.872,89.856,89.856,83.16,83.16,83.232,83.232,81.216,81.216,82.512,82.512,81.72,81.72,88.344,88.344,90.144,90.144,83.016,83.016,82.728,82.728,91.8,91.8,93.528,93.528,77.328,77.328,74.952,74.952,83.52,83.52,88.272,88.272,80.784,80.784,77.112,77.112,85.32,85.32,91.872,91.872,83.016,83.016,83.016,83.016,95.256,95.256,102.168,102.168,88.632,88.632,85.968,85.968,90.432,90.432,100.728,100.728
"August 8, 2011",0028931680_02,9575_Partners_LLC,KW,89.28,89.28,78.84,78.84,81.792,81.792,77.688,77.688,94.032,94.032,79.56,79.56,78.624,78.624,76.824,76.824,89.136,89.136,88.92,88.92,77.832,77.832,84.24,84.24,95.472,95.472,109.944,109.944,112.392,112.392,137.808,137.808,164.448,164.448,190.152,190.152,197.712,197.712,192.6,192.6,196.92,196.92,195.84,195.84,202.608,202.608,199.008,199.008,192.168,192.168,200.376,200.376,198.072,198.072,190.08,190.08,191.88,191.88,186.984,186.984,189.288,189.288,189.72,189.72,183.816,183.816,177.264,177.264,169.56,169.56,150.912,150.912,151.92,151.92,164.592,164.592,159.264,159.264,152.352,152.352,137.88,137.88,145.584,145.584,137.232,137.232,129.456,129.456,118.368,118.368,125.064,125.064,111.456,111.456,100.584,100.584
"August 9, 2011",0028931680_02,9575_Partners_LLC,KW,96.264,96.264,100.368,100.368,87.696,87.696,84.816,84.816,91.008,91.008,89.208,89.208,78.48,78.48,82.008,82.008,89.64,89.64,85.392,85.392,79.056,79.056,79.56,79.56,100.8,100.8,105.336,105.336,108.936,108.936,136.584,136.584,176.616,176.616,181.944,181.944,189.072,189.072,194.04,194.04,192.888,192.888,192.744,192.744,190.728,190.728,192.384,192.384,194.256,194.256,194.904,194.904,196.2,196.2,195.408,195.408,194.184,194.184,194.472,194.472,191.952,191.952,192.96,192.96,181.944,181.944,173.016,173.016,175.536,175.536,165.816,165.816,147.312,147.312,136.08,136.08,150.48,150.48,156.816,156.816,128.016,128.016,123.768,123.768,128.952,128.952,134.424,134.424,108.936,108.936,99.144,99.144,110.592,110.592,105.048,105.048
"August 10, 2011",0028931680_02,9575_Partners_LLC,KW,92.52,92.52,95.832,95.832,104.832,104.832,89.496,89.496,87.624,87.624,100.08,100.08,86.04,86.04,76.824,76.824,80.568,80.568,96.048,96.048,85.392,85.392,81.504,81.504,102.744,102.744,118.44,118.44,110.016,110.016,129.168,129.168,171.72,171.72,189.864,189.864,189.648,189.648,198.432,198.432,201.312,201.312,201.816,201.816,210.456,210.456,198.072,198.072,201.384,201.384,198.288,198.288,194.472,194.472,200.376,200.376,198.792,198.792,195.624,195.624,196.2,196.2,194.544,194.544,190.728,190.728,180,180,177.624,177.624,159.12,159.12,150.12,150.12,146.016,146.016,150.048,150.048,157.464,157.464,136.368,136.368,125.496,125.496,139.824,139.824,141.696,141.696,112.032,112.032,100.008,100.008,108.072,108.072,102.456,102.456
