Date,Unit,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
06/01/2011,KW,99.45,97.56,96.39,97.83,96.48,96.39,96.48,97.65,98.28,96.66,96.75,95.76,97.47,98.46,97.11,98.64,99.45,99,99.9,101.16,100.44,100.89,101.25,100.53,100.17,101.07,131.04,145.26,148.95,150.39,139.95,140.85,137.16,137.88,136.8,138.06,145.53,147.6,147.51,147.15,148.95,149.67,145.44,148.5,148.95,148.86,150.12,148.59,150.57,165.87,150.39,154.98,155.52,156.06,154.71,153.09,153.72,153,155.16,158.04,153.63,152.46,119.07,112.5,110.34,107.37,109.26,108.18,104.31,103.59,102.96,102.51,103.95,106.83,104.76,103.59,103.59,109.62,107.19,109.89,109.62,108.81,109.26,111.78,112.41,112.95,112.41,112.14,102.6,98.73,99.27,98.82,98.28,99.81,98.91,101.43
06/02/2011,KW,73.89,75.78,76.5,75.42,74.43,74.43,73.53,74.16,77.49,76.86,80.01,81.9,81.36,78.84,76.59,74.52,78.03,76.77,78.12,82.53,87.57,88.74,91.17,93.6,99.27,93.24,156.51,185.58,174.78,166.86,166.86,166.32,154.08,158.4,151.92,160.02,167.67,166.77,163.8,161.19,162.09,163.89,161.82,158.22,158.13,153.18,151.83,152.55,150.84,149.49,156.24,149.85,147.96,150.03,150.12,144.99,145.35,150.84,153.18,154.71,153.09,146.79,116.64,104.04,98.91,101.43,85.77,88.56,86.4,88.11,92.52,106.2,96.39,99.27,103.5,107.91,104.58,106.29,104.85,98.1,117.72,114.39,117.09,115.56,105.75,96.3,90.54,94.86,82.35,78.21,79.92,78.66,78.93,77.4,74.34,69.93
06/03/2011,KW,69.48,70.74,71.1,69.03,69.3,68.04,70.92,73.08,70.38,68.76,73.35,76.05,75.69,73.26,70.83,70.74,72.36,72.81,72.9,75.42,79.74,84.87,88.38,85.32,74.16,77.67,143.91,162.36,157.23,148.41,141.66,141.57,137.34,136.08,132.75,127.62,135,142.2,135.54,135.54,135.45,136.98,139.59,136.62,140.4,138.33,134.19,134.73,131.13,128.07,129.15,131.13,128.79,131.13,132.03,135.99,131.85,133.29,134.19,132.21,134.01,134.91,103.86,92.25,87.48,83.7,82.44,76.77,77.04,78.39,77.49,76.23,74.16,73.44,74.88,72.45,87.66,85.77,83.88,85.59,86.76,88.47,87.75,87.39,85.32,84.33,86.22,84.96,80.01,77.22,77.31,82.98,77.76,79.02,72.18,69.66
06/04/2011,KW,96.66,95.22,96.39,96.48,95.94,96.39,95.94,95.58,94.95,96.93,95.58,95.49,95.04,96.21,96.12,95.67,96.57,95.13,96.48,96.21,97.02,96.03,94.59,96.03,95.31,98.1,95.22,96.03,94.05,92.25,90.72,90.63,88.74,87.66,89.46,93.6,90.72,89.82,87.57,90.99,93.15,90.36,89.55,91.17,93.24,91.08,90.09,90.72,94.05,92.88,91.62,93.24,91.44,93.78,95.94,94.14,92.7,91.35,90.9,94.77,95.4,92.88,93.6,91.89,93.33,92.97,96.93,93.51,93.78,94.32,92.52,93.15,92.52,92.61,91.8,92.52,93.69,91.17,91.35,93.15,91.71,93.24,94.68,97.2,93.24,92.88,93.24,93.51,92.52,94.14,93.96,95.58,95.58,96.75,96.12,96.84
06/05/2011,KW,94.32,93.69,94.23,96.39,94.86,96.12,95.13,95.58,93.69,94.68,94.32,95.85,95.67,95.4,95.04,95.13,97.56,95.4,94.86,94.32,94.23,96.75,98.01,98.1,96.48,96.03,91.8,92.43,90.9,91.26,91.35,92.16,92.16,90.72,90.36,89.46,91.35,90.18,91.17,89.73,89.28,89.01,88.29,90.72,91.44,90.18,91.26,90.81,91.62,91.35,91.26,92.07,91.08,90.99,90.99,92.88,91.17,93.6,90.63,91.17,91.08,90.09,90.63,90.18,91.53,91.98,91.08,90.99,91.35,91.35,91.71,90.63,90.54,90.36,90.09,90.54,89.28,90.18,91.26,93.15,90.99,94.95,93.42,94.14,92.43,92.61,93.69,93.6,94.86,95.13,95.31,97.02,97.2,97.83,96.03,96.57
06/06/2011,KW,69.93,72.9,74.88,74.79,72.81,71.01,71.1,75.33,69.66,72,71.64,80.64,78.12,74.79,75.69,69.3,73.62,71.37,78.84,71.82,79.47,81.45,83.88,85.05,86.49,93.42,124.56,127.26,132.66,134.01,135.54,135,138.24,131.85,137.07,143.64,145.08,138.06,140.04,140.67,138.51,140.31,144.81,138.42,140.58,143.91,145.35,134.82,138.33,139.23,139.95,144.09,143.64,145.71,151.2,138.78,140.85,134.73,136.53,139.68,135.9,133.38,138.51,129.69,117.63,110.61,108.99,103.59,133.11,116.46,103.86,97.29,98.19,110.61,121.23,97.47,98.19,84.78,82.98,80.91,91.08,94.32,97.56,102.06,100.62,98.82,98.73,92.79,85.23,80.73,77.31,79.2,77.94,81.72,73.35,73.44
06/07/2011,KW,70.83,74.88,72.45,71.55,72.18,76.77,69.75,70.65,73.62,71.28,72.54,80.28,77.04,78.12,80.64,71.01,72.27,73.53,76.68,75.42,80.1,83.88,82.26,83.34,75.78,85.5,119.16,128.34,125.55,116.91,113.94,122.49,116.82,115.47,115.56,119.88,121.32,120.15,125.19,126.45,122.49,118.26,120.06,118.8,109.62,110.97,115.65,107.55,109.08,120.33,120.87,111.96,114.93,108.27,130.23,105.48,105.03,106.47,109.98,111.69,126.54,106.29,96.48,105.57,102.24,87.12,87.21,94.5,118.71,100.35,89.82,97.65,119.7,93.96,90.36,106.92,131.49,99.72,93.15,103.77,116.1,107.64,105.66,122.94,125.73,97.02,84.51,81.54,78.3,75.51,74.79,75.96,75.42,76.05,71.82,67.59
06/08/2011,KW,96.03,95.49,94.41,96.21,95.49,95.76,94.5,94.95,94.41,95.49,96.66,96.21,93.42,95.49,95.04,94.95,96.12,96.3,96.03,97.29,96.57,94.77,97.11,97.2,95.94,97.83,105.75,109.98,113.67,115.11,111.15,110.7,117.09,124.74,109.17,109.17,143.91,145.53,123.39,120.33,121.05,138.24,151.56,120.6,119.52,120.78,153.27,131.31,118.89,121.68,142.47,145.26,124.02,124.56,162.27,144.99,127.98,129.96,164.61,129.78,132.12,169.2,140.94,115.83,116.82,148.32,106.29,118.71,146.97,118.89,101.61,128.25,147.15,104.49,108.81,142.02,138.42,107.37,100.98,130.05,127.71,105.75,106.02,106.02,105.66,139.5,116.73,111.87,98.37,96.66,97.2,98.46,97.11,97.74,96.75,96.39
06/09/2011,KW,94.59,94.68,97.02,98.82,95.58,95.76,96.66,98.1,99.27,99.45,96.3,95.58,95.13,96.84,97.02,95.49,98.28,99.63,97.47,98.64,97.83,96.93,98.28,97.56,96.57,99.36,104.4,109.98,116.91,116.91,112.32,115.2,128.25,117.9,112.77,112.95,133.65,154.26,124.65,122.13,123.84,126.99,133.38,142.83,127.35,126.45,151.74,148.05,130.41,129.51,139.23,149.04,130.5,137.52,170.19,141.93,134.73,144.99,158.94,182.07,148.59,145.44,126.9,148.41,138.15,119.79,119.88,150.66,136.53,106.38,124.83,159.48,107.19,105.12,158.04,131.94,108.27,127.8,154.17,104.76,106.02,133.83,135.81,104.67,104.22,112.23,144.72,108.81,99.36,94.95,96.39,97.29,96.93,98.37,96.21,96.03
06/10/2011,KW,96.57,95.94,97.47,97.92,95.85,97.11,95.58,97.74,98.19,97.2,97.56,97.65,95.67,96.3,95.13,96.93,97.29,98.1,96.57,96.12,94.86,95.76,98.73,99.27,95.49,96.21,100.62,117.54,113.76,108.09,112.68,123.57,112.23,112.95,112.95,113.76,121.77,127.35,134.19,122.94,125.01,128.7,158.04,131.49,128.34,128.52,126.36,146.25,155.16,128.7,129.6,139.05,151.38,165.15,131.31,135.63,140.58,185.4,152.64,145.35,144.99,156.78,160.74,124.38,122.31,139.59,149.85,112.59,108.72,124.29,122.85,110.25,130.05,143.19,107.64,107.82,110.88,151.02,109.35,106.11,105.21,105.75,122.58,133.47,109.8,112.41,112.5,112.23,100.17,96.12,97.92,98.46,95.94,97.29,96.57,97.2
