Date,Unit,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
08/01/2011,KW,27.252,27.252,27.432,27.432,27,27,27.702,27.702,29.7,29.7,28.962,28.962,27.072,27.072,26.892,26.892,27.576,27.576,28.854,28.854,26.046,26.046,27.18,27.18,26.424,26.424,34.938,34.938,58.122,58.122,60.858,60.858,61.596,61.596,64.656,64.656,65.592,65.592,70.308,70.308,73.656,73.656,70.452,70.452,69.714,69.714,73.746,73.746,74.034,74.034,73.53,73.53,71.838,71.838,74.286,74.286,74.322,74.322,75.438,75.438,75.456,75.456,75.96,75.96,75.582,75.582,76.842,76.842,70.65,70.65,76.248,76.248,77.166,77.166,77.292,77.292,82.926,82.926,93.006,93.006,93.186,93.186,91.548,91.548,91.782,91.782,90.378,90.378,69.786,69.786,69.318,69.318,61.92,61.92,31.734,31.734
08/02/2011,KW,30.006,30.006,30.6,30.6,29.826,29.826,29.826,29.826,33.192,33.192,31.23,31.23,29.232,29.232,29.394,29.394,30.636,30.636,30.762,30.762,27.54,27.54,24.606,24.606,28.296,28.296,37.89,37.89,56.826,56.826,53.712,53.712,60.444,60.444,62.1,62.1,64.728,64.728,71.226,71.226,73.836,73.836,71.154,71.154,64.836,64.836,72.45,72.45,74.358,74.358,71.91,71.91,73.368,73.368,74.952,74.952,76.5,76.5,76.482,76.482,76.626,76.626,79.47,79.47,77.004,77.004,74.304,74.304,74.232,74.232,87.264,87.264,94.752,94.752,88.488,88.488,87.228,87.228,86.058,86.058,80.136,80.136,83.664,83.664,86.49,86.49,84.87,84.87,69.156,69.156,65.916,65.916,34.434,34.434,28.638,28.638
08/03/2011,KW,28.944,28.944,28.422,28.422,29.178,29.178,29.034,29.034,30.114,30.114,30.24,30.24,29.502,29.502,28.53,28.53,28.224,28.224,30.456,30.456,27.036,27.036,26.91,26.91,26.514,26.514,30.258,30.258,50.202,50.202,57.33,57.33,63.45,63.45,55.152,55.152,58.536,58.536,62.964,62.964,64.278,64.278,68.472,68.472,63.918,63.918,66.744,66.744,67.878,67.878,72.612,72.612,70.218,70.218,74.592,74.592,73.368,73.368,73.134,73.134,70.416,70.416,69.282,69.282,72.468,72.468,69.03,69.03,69.534,69.534,71.478,71.478,74.628,74.628,72.45,72.45,68.238,68.238,88.146,88.146,80.784,80.784,80.712,80.712,74.79,74.79,73.44,73.44,68.472,68.472,55.116,55.116,29.07,29.07,27.684,27.684
08/04/2011,KW,28.044,28.044,28.62,28.62,25.506,25.506,26.802,26.802,30.618,30.618,28.404,28.404,27.63,27.63,25.38,25.38,26.946,26.946,26.406,26.406,24.354,24.354,25.542,25.542,25.164,25.164,28.944,28.944,45.45,45.45,45.252,45.252,49.536,49.536,56.034,56.034,62.064,62.064,60.642,60.642,65.988,65.988,60.75,60.75,57.492,57.492,65.124,65.124,66.366,66.366,69.84,69.84,70.308,70.308,67.572,67.572,66.852,66.852,68.796,68.796,67.482,67.482,67.608,67.608,69.228,69.228,70.668,70.668,68.112,68.112,68.67,68.67,69.624,69.624,70.812,70.812,82.26,82.26,82.35,82.35,78.12,78.12,80.1,80.1,79.2,79.2,79.866,79.866,70.488,70.488,61.686,61.686,31.41,31.41,27.558,27.558
08/05/2011,KW,26.388,26.388,25.668,25.668,25.884,25.884,29.844,29.844,27.432,27.432,27.216,27.216,26.658,26.658,25.56,25.56,25.092,25.092,27.936,27.936,23.058,23.058,25.632,25.632,25.164,25.164,24.984,24.984,36.144,36.144,39.654,39.654,61.452,61.452,65.232,65.232,61.29,61.29,58.446,58.446,54.54,54.54,61.686,61.686,66.726,66.726,72.162,72.162,63.846,63.846,64.854,64.854,67.788,67.788,68.526,68.526,70.434,70.434,67.428,67.428,68.958,68.958,67.914,67.914,73.026,73.026,72.162,72.162,66.582,66.582,68.634,68.634,63.576,63.576,73.44,73.44,84.942,84.942,80.928,80.928,78.048,78.048,81.09,81.09,80.892,80.892,82.872,82.872,68.796,68.796,64.116,64.116,34.578,34.578,28.872,28.872
08/06/2011,KW,29.484,29.484,27.252,27.252,29.79,29.79,25.848,25.848,28.908,28.908,29.772,29.772,28.782,28.782,27.954,27.954,25.038,25.038,29.448,29.448,24.3,24.3,26.892,26.892,27.288,27.288,30.006,30.006,25.146,25.146,25.524,25.524,45.468,45.468,55.98,55.98,58.698,58.698,59.796,59.796,63.09,63.09,58.374,58.374,60.228,60.228,69.606,69.606,71.37,71.37,73.8,73.8,72.864,72.864,71.856,71.856,70.344,70.344,74.988,74.988,74.412,74.412,74.052,74.052,72.81,72.81,69.624,69.624,68.274,68.274,74.538,74.538,72.198,72.198,70.146,70.146,73.476,73.476,85.122,85.122,78.642,78.642,80.496,80.496,80.586,80.586,74.286,74.286,64.62,64.62,62.37,62.37,30.942,30.942,26.622,26.622
08/07/2011,KW,26.532,26.532,26.19,26.19,26.082,26.082,27.378,27.378,28.476,28.476,27.072,27.072,22.932,22.932,24.822,24.822,24.822,24.822,26.226,26.226,23.112,23.112,25.074,25.074,24.354,24.354,30.942,30.942,30.33,30.33,37.368,37.368,61.956,61.956,52.362,52.362,70.092,70.092,60.552,60.552,59.598,59.598,53.982,53.982,54.828,54.828,56.844,56.844,59.526,59.526,69.876,69.876,72.828,72.828,71.478,71.478,73.044,73.044,73.512,73.512,72.72,72.72,72.45,72.45,85.86,85.86,86.094,86.094,62.118,62.118,59.544,59.544,57.942,57.942,74.592,74.592,76.554,76.554,76.428,76.428,75.258,75.258,75.888,75.888,73.152,73.152,72.432,72.432,61.866,61.866,31.464,31.464,25.236,25.236,26.766,26.766
08/08/2011,KW,24.498,24.498,23.688,23.688,26.316,26.316,27.306,27.306,27.882,27.882,25.164,25.164,23.472,23.472,24.336,24.336,24.246,24.246,25.668,25.668,22.14,22.14,18.432,18.432,16.542,16.542,23.346,23.346,43.038,43.038,50.958,50.958,57.762,57.762,64.494,64.494,54.396,54.396,54.378,54.378,64.188,64.188,64.548,64.548,66.744,66.744,66.942,66.942,62.532,62.532,67.5,67.5,68.256,68.256,66.078,66.078,68.544,68.544,67.158,67.158,68.562,68.562,79.29,79.29,80.1,80.1,78.786,78.786,77.274,77.274,81.054,81.054,78.372,78.372,78.966,78.966,74.034,74.034,74.412,74.412,73.908,73.908,77.562,77.562,74.862,74.862,76.716,76.716,69.75,69.75,53.37,53.37,25.614,25.614,26.208,26.208
08/09/2011,KW,24.372,24.372,27.054,27.054,25.902,25.902,24.606,24.606,26.964,26.964,24.552,24.552,24.426,24.426,24.03,24.03,23.364,23.364,25.182,25.182,21.96,21.96,21.168,21.168,22.158,22.158,24.858,24.858,38.862,38.862,40.644,40.644,57.438,57.438,65.07,65.07,56.214,56.214,56.592,56.592,61.2,61.2,62.892,62.892,61.146,61.146,66.204,66.204,66.618,66.618,63.504,63.504,65.826,65.826,63.666,63.666,65.232,65.232,63.738,63.738,62.892,62.892,64.26,64.26,61.866,61.866,62.514,62.514,64.116,64.116,65.628,65.628,61.452,61.452,65.628,65.628,66.906,66.906,79.614,79.614,75.168,75.168,78.246,78.246,75.744,75.744,74.808,74.808,68.238,68.238,49.212,49.212,25.776,25.776,27.234,27.234
08/10/2011,KW,26.442,26.442,24.138,24.138,22.212,22.212,20.232,20.232,21.906,21.906,19.278,19.278,19.17,19.17,26.046,26.046,21.78,21.78,26.694,26.694,22.968,22.968,23.454,23.454,22.986,22.986,25.488,25.488,42.408,42.408,42.21,42.21,49.896,49.896,50.292,50.292,51.66,51.66,52.83,52.83,56.502,56.502,55.782,55.782,51.876,51.876,54.342,54.342,59.04,59.04,62.442,62.442,63.936,63.936,57.618,57.618,61.902,61.902,61.434,61.434,62.028,62.028,66.924,66.924,64.35,64.35,61.272,61.272,58.32,58.32,62.424,62.424,65.52,65.52,60.768,60.768,58.122,58.122,77.004,77.004,76.068,76.068,73.638,73.638,72.414,72.414,72.954,72.954,60.822,60.822,28.908,28.908,25.38,25.38,26.424,26.424
08/11/2011,KW,22.158,22.158,22.662,22.662,20.952,20.952,23.688,23.688,25.038,25.038,24.066,24.066,21.06,21.06,22.734,22.734,22.068,22.068,21.528,21.528,20.88,20.88,21.42,21.42,16.884,16.884,23.022,23.022,38.844,38.844,44.244,44.244,46.53,46.53,55.422,55.422,51.21,51.21,51.084,51.084,55.134,55.134,58.284,58.284,55.35,55.35,60.156,60.156,64.926,64.926,61.884,61.884,63.396,63.396,63.054,63.054,63.396,63.396,67.122,67.122,68.652,68.652,65.844,65.844,67.5,67.5,65.718,65.718,64.872,64.872,64.656,64.656,65.322,65.322,66.024,66.024,62.91,62.91,77.418,77.418,76.536,76.536,76.176,76.176,74.448,74.448,73.764,73.764,68.454,68.454,44.658,44.658,23.184,23.184,27.09,27.09
08/12/2011,KW,24.93,24.93,24.156,24.156,25.146,25.146,24.39,24.39,26.1,26.1,25.254,25.254,22.986,22.986,23.166,23.166,23.382,23.382,22.158,22.158,21.888,21.888,22.842,22.842,23.004,23.004,26.478,26.478,38.826,38.826,39.816,39.816,52.956,52.956,55.962,55.962,52.344,52.344,52.722,52.722,56.736,56.736,61.47,61.47,57.924,57.924,60.426,60.426,58.446,58.446,64.998,64.998,65.142,65.142,67.446,67.446,64.89,64.89,64.278,64.278,66.186,66.186,62.856,62.856,63.27,63.27,65.376,65.376,64.53,64.53,65.268,65.268,71.478,71.478,84.222,84.222,80.964,80.964,79.812,79.812,78.588,78.588,78.336,78.336,77.814,77.814,74.034,74.034,68.544,68.544,52.542,52.542,25.884,25.884,24.948,24.948
08/13/2011,KW,26.676,26.676,25.434,25.434,26.208,26.208,26.298,26.298,26.19,26.19,26.892,26.892,26.064,26.064,23.598,23.598,25.038,25.038,26.1,26.1,23.112,23.112,25.146,25.146,23.742,23.742,23.526,23.526,29.988,29.988,33.858,33.858,50.274,50.274,49.914,49.914,52.128,52.128,59.742,59.742,61.344,61.344,65.808,65.808,65.196,65.196,64.656,64.656,66.042,66.042,75.564,75.564,82.152,82.152,72.45,72.45,66.798,66.798,53.946,53.946,55.35,55.35,57.078,57.078,58.842,58.842,56.754,56.754,59.724,59.724,58.14,58.14,58.464,58.464,58.572,58.572,72.684,72.684,74.934,74.934,72.666,72.666,70.956,70.956,70.02,70.02,73.494,73.494,58.986,58.986,28.332,28.332,25.02,25.02,26.892,26.892
08/14/2011,KW,24.552,24.552,23.508,23.508,22.626,22.626,23.49,23.49,25.254,25.254,24.12,24.12,23.256,23.256,20.07,20.07,18.036,18.036,20.052,20.052,17.478,17.478,18.504,18.504,25.164,25.164,23.004,23.004,24.984,24.984,28.62,28.62,44.748,44.748,46.278,46.278,47.574,47.574,48.978,48.978,53.406,53.406,53.514,53.514,51.894,51.894,53.676,53.676,52.254,52.254,52.524,52.524,54.234,54.234,60.12,60.12,58.158,58.158,60.444,60.444,61.704,61.704,62.766,62.766,61.092,61.092,57.15,57.15,59.166,59.166,57.582,57.582,60.984,60.984,61.542,61.542,59.652,59.652,73.26,73.26,73.728,73.728,73.008,73.008,68.778,68.778,70.794,70.794,66.69,66.69,66.492,66.492,37.476,37.476,28.152,28.152
08/15/2011,KW,24.588,24.588,25.218,25.218,23.994,23.994,25.47,25.47,26.388,26.388,25.848,25.848,23.814,23.814,23.616,23.616,24.318,24.318,25.578,25.578,22.68,22.68,23.832,23.832,22.842,22.842,26.568,26.568,44.928,44.928,43.902,43.902,44.892,44.892,55.116,55.116,56.412,56.412,51.192,51.192,55.35,55.35,56.394,56.394,53.082,53.082,62.964,62.964,60.732,60.732,64.872,64.872,62.55,62.55,66.744,66.744,69.228,69.228,64.944,64.944,65.394,65.394,68.004,68.004,67.644,67.644,64.314,64.314,61.668,61.668,63.144,63.144,67.068,67.068,64.368,64.368,70.47,70.47,77.742,77.742,75.33,75.33,76.374,76.374,74.412,74.412,75.438,75.438,68.274,68.274,51.21,51.21,26.928,26.928,25.992,25.992
08/16/2011,KW,24.408,24.408,23.94,23.94,25.344,25.344,25.02,25.02,26.37,26.37,25.416,25.416,24.606,24.606,22.536,22.536,23.094,23.094,24.516,24.516,21.258,21.258,18.09,18.09,20.376,20.376,23.004,23.004,40.626,40.626,40.104,40.104,49.338,49.338,50.4,50.4,56.502,56.502,64.242,64.242,57.312,57.312,56.448,56.448,58.23,58.23,63.648,63.648,69.192,69.192,65.376,65.376,64.746,64.746,65.466,65.466,65.142,65.142,69.462,69.462,70.416,70.416,67.104,67.104,66.726,66.726,65.538,65.538,66.402,66.402,69.048,69.048,66.798,66.798,64.872,64.872,68.958,68.958,78.822,78.822,81.828,81.828,80.766,80.766,74.718,74.718,71.892,71.892,68.364,68.364,49.77,49.77,26.388,26.388,28.458,28.458
08/17/2011,KW,26.46,26.46,24.984,24.984,23.778,23.778,24.192,24.192,26.028,26.028,24.912,24.912,23.706,23.706,23.436,23.436,23.22,23.22,25.056,25.056,22.266,22.266,22.716,22.716,24.282,24.282,25.416,25.416,43.542,43.542,44.91,44.91,50.256,50.256,57.15,57.15,58.122,58.122,56.898,56.898,60.696,60.696,62.298,62.298,63.162,63.162,62.784,62.784,68.292,68.292,68.49,68.49,68.94,68.94,66.438,66.438,71.37,71.37,71.694,71.694,71.388,71.388,67.464,67.464,73.98,73.98,73.872,73.872,68.976,68.976,70.632,70.632,71.388,71.388,70.578,70.578,79.002,79.002,79.47,79.47,84.186,84.186,84.222,84.222,82.944,82.944,78.318,78.318,60.462,60.462,31.248,31.248,29.358,29.358,29.034,29.034
08/18/2011,KW,25.02,25.02,28.08,28.08,28.242,28.242,27,27,28.998,28.998,28.458,28.458,25.506,25.506,25.38,25.38,24.012,24.012,26.424,26.424,23.562,23.562,24.066,24.066,23.85,23.85,27.108,27.108,47.268,47.268,43.578,43.578,53.262,53.262,56.322,56.322,55.854,55.854,59.904,59.904,60.192,60.192,57.168,57.168,59.418,59.418,68.868,68.868,65.754,65.754,66.672,66.672,64.89,64.89,68.076,68.076,66.96,66.96,72,72,70.146,70.146,68.058,68.058,64.962,64.962,67.968,67.968,66.888,66.888,68.418,68.418,70.02,70.02,67.86,67.86,67.05,67.05,76.446,76.446,78.372,78.372,80.658,80.658,75.708,75.708,69.498,69.498,66.528,66.528,43.506,43.506,22.788,22.788,24.336,24.336
08/19/2011,KW,25.974,25.974,25.218,25.218,24.336,24.336,25.47,25.47,25.794,25.794,24.894,24.894,25.344,25.344,23.112,23.112,24.012,24.012,24.462,24.462,22.644,22.644,23.922,23.922,23.076,23.076,25.704,25.704,45.846,45.846,44.118,44.118,46.566,46.566,55.746,55.746,56.61,56.61,56.934,56.934,57.258,57.258,57.492,57.492,60.714,60.714,70.596,70.596,72.9,72.9,72.378,72.378,69.318,69.318,68.994,68.994,73.476,73.476,71.19,71.19,71.478,71.478,73.512,73.512,72.702,72.702,72.396,72.396,71.55,71.55,74.898,74.898,75.15,75.15,71.154,71.154,80.406,80.406,79.92,79.92,78.138,78.138,84.96,84.96,80.604,80.604,78.246,78.246,69.228,69.228,65.772,65.772,38.286,38.286,28.116,28.116
08/20/2011,KW,27.198,27.198,25.182,25.182,27.396,27.396,27.81,27.81,30.6,30.6,27.342,27.342,24.732,24.732,26.838,26.838,25.56,25.56,26.37,26.37,23.67,23.67,27.036,27.036,23.382,23.382,28.242,28.242,21.618,21.618,25.722,25.722,41.652,41.652,63.018,63.018,73.602,73.602,78.192,78.192,78.534,78.534,74.232,74.232,66.672,66.672,60.84,60.84,53.55,53.55,55.746,55.746,51.588,51.588,58.392,58.392,59.022,59.022,61.326,61.326,61.596,61.596,60.462,60.462,64.872,64.872,63.81,63.81,58.176,58.176,59.94,59.94,65.556,65.556,80.28,80.28,74.502,74.502,72.702,72.702,76.068,76.068,76.374,76.374,71.676,71.676,71.64,71.64,65.538,65.538,64.242,64.242,32.148,32.148,25.2,25.2
